id|score|comment|bookId
1|4|ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra|559
2|2|blandit nam nulla integer pede justo lacinia eget tincidunt eget|778
3|2|nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia|478
4|3|quis orci eget orci vehicula condimentum curabitur in libero ut massa|101
5|2|vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec|513
6|1|ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas|321
7|5|dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien|294
8|3|id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et|602
9|1|nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede|970
10|1|aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat|633
11|1|morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis|325
12|4|interdum venenatis turpis enim blandit mi in porttitor pede justo|296
13|1|interdum in ante vestibulum ante ipsum primis in faucibus orci luctus|475
14|2|bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem|391
15|3|rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id|419
16|1|cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan|665
17|5|tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum|259
18|5|in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum|91
19|4|purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis|268
20|5|convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor|946
21|4|leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu|504
22|2|vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus|762
23|2|ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in|500
24|1|nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras|14
25|3|vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis|428
26|5|sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis|988
27|5|augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed|192
28|1|accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio|32
29|4|sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum|434
30|2|sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia|474
31|5|placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel|478
32|1|turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis|459
33|2|volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar|443
34|3|risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed|421
35|1|ut erat curabitur gravida nisi at nibh in hac habitasse platea|435
36|2|nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros|299
37|2|sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices|257
38|2|quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices|253
39|5|urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras|569
40|3|felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed|888
41|2|luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis|602
42|3|mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel|312
43|1|ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean|294
44|1|ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae|879
45|5|suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean|686
46|5|consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in|656
47|1|at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt|937
48|5|quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus|287
49|4|donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est|799
50|3|lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue|894
51|2|vulputate elementum nullam varius nulla facilisi cras non velit nec|985
52|1|eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti|792
53|3|pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor|812
54|4|erat nulla tempus vivamus in felis eu sapien cursus vestibulum|265
55|2|sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis|322
56|3|diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam|850
57|4|odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue|720
58|2|ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl|970
59|2|platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante|501
60|3|magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien|60
61|4|ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam|337
62|1|velit id pretium iaculis diam erat fermentum justo nec condimentum|441
63|4|ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor|612
64|3|aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam|105
65|2|non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in|202
66|3|libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu|484
67|3|eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus|229
68|1|etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius|295
69|5|posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed|386
70|1|ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non|611
71|1|in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum|60
72|1|nulla integer pede justo lacinia eget tincidunt eget tempus vel|28
73|5|id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque|312
74|1|natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean|696
75|2|ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl|224
76|4|velit eu est congue elementum in hac habitasse platea dictumst|60
77|2|in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris|582
78|2|odio in hac habitasse platea dictumst maecenas ut massa quis augue|438
79|1|nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo|880
80|3|eu magna vulputate luctus cum sociis natoque penatibus et magnis dis|983
81|2|ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae|678
82|3|luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis|47
83|1|in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna|865
84|3|sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed|958
85|3|in libero ut massa volutpat convallis morbi odio odio elementum|867
86|2|sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula|119
87|4|luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin|62
88|5|ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae|898
89|5|hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat|303
90|2|in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut|705
91|1|gravida sem praesent id massa id nisl venenatis lacinia aenean|169
92|3|viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat|344
93|5|sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a|538
94|3|massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida|35
95|2|id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue|982
96|2|convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget|662
97|1|eu massa donec dapibus duis at velit eu est congue elementum in|82
98|2|commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem|629
